sex,age,studytime,failures,famrel,goout,Dalc,Walc,health,absences
F,16,2,0,5,4,1,1,5,0
M,15,1,0,5,5,3,2,5,0
F,15,2,0,5,2,1,1,1,0
F,19,2,3,3,2,1,1,5,2
M,18,1,2,3,3,1,2,4,0
M,16,1,0,3,5,2,5,4,8
F,15,3,2,4,2,2,2,5,0
F,15,1,0,4,3,1,2,4,0
F,17,1,0,3,4,1,3,5,12
F,16,1,0,3,1,1,4,5,16
M,15,2,0,5,3,1,1,5,0
F,15,3,0,4,3,1,1,5,0
M,17,2,0,5,5,2,4,5,0
F,16,1,2,4,2,1,1,5,0
M,16,2,1,4,4,1,3,5,0
F,15,1,0,4,2,1,1,5,0
M,15,4,0,2,2,1,1,3,0
M,16,1,2,2,3,2,2,2,8
F,15,3,0,4,2,1,1,5,2
F,16,1,0,3,4,3,3,1,2
M,17,1,3,5,5,1,2,5,0
F,15,2,0,4,2,1,2,5,0
F,15,2,3,3,2,1,1,3,0
F,15,2,0,4,2,1,1,5,2
M,16,1,0,3,2,2,1,5,0
M,15,1,3,4,5,2,5,5,0
M,18,1,3,2,5,2,5,4,0
M,16,1,1,4,4,3,5,5,6
F,15,3,2,4,1,2,3,3,8
M,19,1,3,4,4,1,1,4,0
F,17,1,0,4,1,1,1,4,0
M,15,2,0,4,4,1,1,1,2
M,17,1,0,2,2,3,3,5,8
F,18,1,3,5,5,1,5,4,6
M,16,1,0,4,2,1,2,3,2
M,16,2,1,4,5,4,4,5,4
M,17,1,2,3,2,2,2,5,0
M,15,2,2,4,4,1,4,3,6
M,16,1,1,4,4,2,4,5,0
M,17,1,0,5,3,1,4,2,2
M,17,2,3,5,5,1,5,5,0
M,16,1,1,4,2,1,1,2,16
M,16,2,0,4,5,2,4,4,4
F,16,2,0,4,3,1,1,3,0
F,16,2,0,5,5,1,1,4,0
F,16,2,0,4,2,1,1,3,0
M,16,1,2,3,5,2,4,2,0
M,16,2,0,4,2,1,1,3,2
M,17,2,0,4,4,1,3,5,0
F,16,2,3,4,5,1,1,3,0
F,16,2,0,4,5,1,1,4,4
M,17,2,0,4,4,4,4,4,4
F,16,2,0,3,4,1,4,5,2
M,17,2,0,4,4,1,4,4,4
M,16,1,0,4,3,3,4,3,10
M,17,2,0,5,3,1,1,2,4
M,16,2,0,3,3,2,3,3,10
M,16,2,0,4,3,1,2,3,2
F,17,2,0,5,2,2,3,5,0
F,17,2,0,5,3,2,3,1,56
F,16,2,0,1,2,1,2,1,14
M,17,2,0,4,4,2,3,4,12
M,16,1,0,3,3,1,2,3,2
M,16,2,0,4,3,1,2,5,0
F,17,2,0,3,3,1,3,3,6
M,17,2,0,3,3,1,5,3,4
F,16,2,0,4,3,1,1,2,10
F,17,2,0,5,3,1,1,3,0
M,17,2,0,4,4,4,5,5,12
M,16,1,0,4,2,3,4,5,8
M,16,1,0,5,3,1,1,3,0
F,17,2,0,4,2,1,1,5,0
M,17,1,0,5,3,1,2,5,4
M,16,1,0,3,4,3,5,3,8
F,17,1,1,4,4,2,3,2,24
F,16,2,0,4,2,1,2,3,0
F,16,2,0,4,5,1,5,2,2
F,16,2,0,4,3,1,3,4,6
F,17,2,0,4,4,1,3,1,4
F,17,1,0,5,2,1,2,3,18
F,16,4,0,5,5,1,1,5,6
F,17,3,1,4,3,3,4,5,28
F,16,2,3,2,3,2,2,4,5
F,16,2,0,1,2,1,1,1,10
F,16,1,0,4,2,1,4,5,6
F,17,3,0,4,2,1,1,4,6
F,19,4,0,4,3,1,2,3,10
M,17,2,0,5,5,4,5,3,13
F,16,2,0,3,4,1,1,4,0
M,18,2,1,4,4,2,4,5,15
F,17,1,0,5,1,1,2,3,12
F,17,2,0,4,4,1,3,1,2
F,17,2,2,3,5,2,4,1,22
M,18,2,1,3,4,2,4,4,13
F,17,1,0,3,3,1,4,3,3
F,17,3,0,4,3,1,1,4,4
F,17,2,0,4,5,1,2,5,2
F,17,3,1,4,4,1,1,5,0
F,16,2,0,2,1,1,1,3,2
M,18,2,0,3,3,5,5,4,0
F,16,3,0,5,2,1,1,5,0
F,18,2,1,5,3,1,1,4,16
F,17,2,0,5,4,1,3,3,10
M,17,2,0,5,3,1,3,3,2
M,18,2,0,4,2,4,5,3,14
F,17,3,0,3,3,1,2,3,10
F,17,2,0,3,3,1,2,3,14
M,17,2,0,4,2,1,1,1,4
M,17,2,0,4,5,1,3,2,14
M,16,2,0,4,4,2,4,1,2
M,16,2,0,3,2,1,1,5,18
M,16,3,0,5,3,1,3,2,10
M,17,2,0,4,2,5,5,4,4
F,16,1,0,4,2,1,1,5,20
F,17,2,0,2,1,1,1,3,2
M,18,2,1,5,4,3,5,2,0
M,17,2,0,2,5,1,4,5,14
M,17,2,0,3,3,2,3,4,2
M,16,1,0,5,5,1,1,3,0
M,16,1,0,5,2,1,2,5,0
F,18,3,0,4,4,1,1,3,0
M,16,1,0,4,3,1,1,4,6
M,17,1,0,5,2,1,1,2,4
M,22,1,3,5,5,5,5,1,16
M,18,2,1,4,3,1,3,5,8
M,16,1,0,4,2,2,4,5,0
M,18,1,1,4,5,2,4,5,0
M,16,2,0,5,3,1,3,2,6
M,18,1,1,3,5,2,5,5,4
M,16,1,0,3,2,1,3,3,0
M,17,1,0,4,2,2,4,5,0
M,17,1,1,4,4,1,2,5,2
F,17,4,0,4,3,1,1,4,6
M,19,2,0,4,1,1,1,1,12
M,18,2,0,5,4,1,2,4,8
F,17,4,0,3,1,1,1,2,0
F,18,2,0,3,2,1,3,2,21
M,18,2,0,4,2,1,1,3,2
M,18,3,0,5,2,1,1,3,1
F,17,3,0,3,3,1,1,4,4
F,18,3,0,4,3,1,1,3,0
M,18,2,0,4,5,3,4,1,13
M,17,2,0,5,4,3,4,5,2
F,18,2,0,4,4,2,2,4,8
M,18,2,0,5,5,1,3,5,10
F,18,2,0,4,5,1,2,3,0
F,19,2,2,4,5,3,3,5,15
F,18,4,0,4,5,1,3,2,4
F,18,2,0,4,3,1,1,3,2
M,17,2,0,3,2,2,2,1,2
F,17,2,0,4,3,1,1,1,2
F,17,2,0,4,4,2,3,5,6
F,18,2,0,4,1,1,1,5,75
M,18,1,0,3,4,1,4,3,22
F,18,2,1,2,4,1,1,4,15
M,18,1,0,4,3,1,2,1,8
M,17,1,0,4,4,2,4,5,30
M,17,1,1,4,4,3,4,3,19
F,18,4,0,5,2,1,1,3,1
F,18,2,0,5,4,1,1,4,4
F,17,2,0,5,5,1,2,5,4
M,17,2,0,4,3,1,2,4,2
F,18,3,0,4,3,1,2,2,5
F,17,3,0,4,3,1,1,3,6
M,18,3,0,4,4,1,3,2,6
M,18,2,0,5,3,1,1,2,9
M,18,2,0,4,2,1,4,5,11
F,17,3,0,4,2,1,2,3,0
F,18,2,1,5,3,1,1,5,12
F,17,4,0,3,2,1,1,3,6
M,18,3,0,5,2,1,1,4,8
M,17,1,0,4,3,1,3,5,4
F,19,2,0,2,4,2,3,2,0
F,18,2,0,4,5,1,2,2,10
F,18,4,0,4,3,1,1,3,0
M,18,1,0,1,2,2,2,1,5
F,18,2,0,4,4,1,1,4,14
M,17,1,0,4,1,2,2,5,0
F,17,3,0,4,3,1,1,3,0
F,17,4,0,5,2,1,2,5,0
M,19,2,1,4,4,1,1,3,20
F,18,2,1,4,3,1,1,3,8
M,20,1,0,5,3,1,1,5,0
M,19,1,1,4,4,1,1,4,38
M,19,2,1,4,3,1,2,5,0
F,19,2,1,4,3,1,3,3,18
F,19,2,1,4,4,2,2,3,0
F,19,2,0,3,1,1,1,2,20
M,19,2,1,4,2,2,2,4,3
F,19,2,1,4,2,1,2,1,22
F,19,3,2,4,2,1,1,3,14
F,19,3,1,4,2,1,1,3,40
F,18,2,0,5,3,1,2,1,0
F,18,3,0,4,4,1,1,5,9
F,17,3,0,4,4,2,5,5,0
F,18,2,0,4,4,3,3,5,2
F,17,2,0,5,2,1,2,5,23
F,17,2,0,4,2,1,1,3,12
F,17,3,0,3,2,2,2,3,3
F,17,3,0,3,3,2,3,5,1
F,17,3,0,3,3,2,3,2,0
M,18,3,0,4,3,2,2,3,3
M,17,1,0,4,5,3,5,5,3
M,17,1,0,4,5,5,5,4,8
F,17,3,0,5,4,1,3,4,7
F,17,3,0,4,3,1,2,4,4
M,18,4,0,4,5,2,4,5,2
F,17,3,0,4,3,1,1,5,7
F,18,2,0,5,4,1,1,4,0
F,18,2,0,4,3,1,1,2,0
F,18,4,0,4,4,1,1,4,0
F,17,3,0,4,5,1,3,5,16
F,19,3,1,5,3,1,2,5,12
F,17,2,0,4,2,2,3,2,0
F,18,4,0,5,3,1,1,1,7
F,17,2,0,4,3,2,3,2,4
F,19,3,1,4,4,1,3,3,4
M,18,2,1,4,3,2,2,2,0
M,18,2,0,4,3,1,3,5,11
F,17,2,1,3,1,1,2,4,0
F,18,3,0,4,3,1,2,3,4
F,18,3,0,5,3,2,3,1,7
M,18,3,0,5,2,1,2,4,9
M,18,3,0,5,5,2,3,5,0
F,17,3,0,4,3,1,3,4,0
M,18,1,1,2,5,5,5,5,10
M,19,2,3,5,4,3,3,2,8
M,17,2,0,4,4,2,3,3,2
M,18,1,1,4,3,2,3,3,7
M,19,1,1,4,4,3,3,5,4
M,17,2,0,4,5,1,3,2,4
F,18,2,0,5,4,1,1,5,0
F,17,2,0,4,3,1,2,5,4
F,17,2,0,1,3,1,2,5,2
M,18,1,0,3,2,1,2,3,4
F,18,3,0,5,2,1,1,4,0
F,18,2,0,4,4,1,4,5,0
M,18,2,1,4,3,2,3,5,2
F,18,2,0,4,2,1,3,3,0
F,17,2,0,2,4,1,1,1,0
F,17,2,0,3,2,1,2,3,0
M,18,2,0,3,4,2,4,3,4
M,18,3,0,4,2,2,2,5,0
F,17,1,1,5,1,1,2,1,0
F,18,1,0,5,3,1,2,4,0
F,18,2,0,3,2,4,2,5,10
F,19,2,2,3,2,1,1,3,4
M,18,1,0,4,3,2,3,3,3
F,17,3,0,3,3,1,1,3,8
F,17,1,0,3,5,1,3,1,14
F,18,3,0,5,4,1,1,1,0
F,18,3,0,4,2,1,2,4,2
F,20,3,2,5,3,1,1,3,4
F,18,2,0,5,3,3,4,2,4
F,18,2,0,4,3,1,2,1,0
F,17,2,0,4,4,2,3,1,17
M,18,2,0,3,4,1,4,2,4
M,18,1,0,4,3,1,3,5,5
M,17,2,0,4,3,1,1,3,2
M,19,1,1,4,2,1,3,5,0
M,18,1,1,5,3,4,3,3,14
F,18,3,0,5,3,1,3,4,2
F,18,1,0,4,3,2,2,5,7
F,19,3,1,5,2,1,2,5,0
F,18,2,0,4,4,1,1,1,0
F,18,2,1,1,1,1,1,5,0
M,20,2,2,5,4,4,5,4,11
M,17,1,0,2,5,3,4,2,3
M,21,1,3,5,3,3,3,3,3
M,18,1,0,4,1,3,4,5,0
M,19,1,0,3,3,3,3,5,5
